                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6041,                 3.0299,                  2.636,                 1.5918,                0.78831,                0.05563,                0.19696,                0.11208,                0.85888,                0.06061,                0.19829,                0.10049,                 1.4993,                 2.9893,                 3.0832,                 1.5066,             0.00065185,             0.00065185,             0.00065185
                      2,                 1.5496,                 2.5623,                 2.0967,                 1.5245,                0.10461,                0.10448,                0.04028,                 0.0151,                0.06865,                0.06468,                0.02502,                0.00722,                 2.1566,                 6.9197,                 3.5238,                 2.3528,               0.001188,               0.001188,               0.001188
                      3,                 1.5561,                 2.5131,                  1.931,                 1.5392,                0.31385,                0.38806,                0.31421,                0.12594,                0.39837,                0.31343,                0.30493,                0.13041,                 1.8049,                 3.0171,                 2.4535,                 1.8695,              0.0015921,              0.0015921,              0.0015921
                      4,                 1.5314,                 2.4649,                 1.8001,                 1.5334,                0.45433,                0.47761,                0.41672,                0.21837,                0.47717,                0.50249,                0.42558,                0.19537,                 1.7727,                 3.1978,                 2.2081,                 1.7627,               0.001406,               0.001406,               0.001406
                      5,                 1.5005,                 2.3773,                 1.6297,                 1.5091,                0.51602,                0.59204,                0.51485,                0.26506,                0.51806,                0.55224,                0.48659,                0.23557,                 1.6432,                 4.2044,                 1.8368,                 1.5894,               0.001406,               0.001406,               0.001406
                      6,                 1.4469,                 2.2889,                 1.4989,                 1.4277,                0.63265,                0.63405,                 0.5979,                0.31478,                0.64098,                0.61194,                0.58675,                0.30024,                  1.574,                 2.9669,                 1.6168,                  1.525,               0.001208,               0.001208,               0.001208
                      7,                 1.4277,                 2.2257,                 1.4193,                 1.4161,                0.67647,                0.50972,                0.58328,                0.31584,                0.65102,                0.52239,                0.58963,                0.31681,                 1.5415,                 2.5137,                 1.6646,                  1.473,                0.00101,                0.00101,                0.00101
                      8,                 1.3387,                 2.1544,                 1.2907,                  1.354,                0.56878,                0.63682,                0.64314,                 0.3473,                0.56346,                0.65502,                0.64816,                0.35533,                 1.5399,                 2.3605,                 1.5584,                  1.439,               0.000812,               0.000812,               0.000812
                      9,                  1.272,                 2.0372,                 1.1948,                 1.3009,                0.69936,                0.69439,                0.67076,                0.37627,                0.70999,                0.69652,                0.69053,                0.37901,                 1.4674,                 2.3887,                 1.4535,                 1.4145,               0.000614,               0.000614,               0.000614
                     10,                 1.2158,                 1.9409,                 1.1194,                 1.2786,                0.73742,                0.64179,                0.71754,                0.41533,                0.73898,                0.63682,                0.70113,                 0.3927,                  1.384,                 2.3463,                 1.3504,                 1.3692,               0.000416,               0.000416,               0.000416
